case_id,control_id,control_title,org,org_name,file_name,file_type,modality,compliance_label,compliance_status,supported,availability,file_path
5.1-o1,ISO-5.1,Policies for information security,o1,Global Enterprises Inc,5-1_O1_information_security_policy.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.1_Policies_for_Information_Security/5-1_O1_information_security_policy.docx
5.1-o2,ISO-5.1,Policies for information security,o2,GlobalFinance Partners,5-1_O2_GFP_Information_Security_Policy.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.1_Policies_for_Information_Security/5-1_O2_GFP_Information_Security_Policy.docx
5.1-o3,ISO-5.1,Policies for information security,o3,QuickServe Restaurants LLC,5-1_O3_QuickServe_Information_Security_Policy_v1.0.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.1_Policies_for_Information_Security/5-1_O3_QuickServe_Information_Security_Policy_v1.0.docx
5.1-o4,ISO-5.1,Policies for information security,o4,TechInnovate Inc,5-1_O4_TechInnovate_Information_Security_Policy_v1.0.docx,docx,unstructured_text,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.1_Policies_for_Information_Security/5-1_O4_TechInnovate_Information_Security_Policy_v1.0.docx
5.11-o1,ISO-5.11,Return of assets,o1,Global Enterprises Inc,5-11_O1_Global_Enterprises_Inc._Asset_Inventory.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.11_Return_of_Assets/5-11_O1_Global_Enterprises_Inc._Asset_Inventory.xlsx
5.11-o2,ISO-5.11,Return of assets,o2,GlobalFinance Partners,5-11_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.11_Return_of_Assets/5-11_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx
5.11-o3,ISO-5.11,Return of assets,o3,QuickServe Restaurants LLC,5-11_O3__QuickServe_Restaurants_LLC_Asset_Data - Copy.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.11_Return_of_Assets/5-11_O3__QuickServe_Restaurants_LLC_Asset_Data - Copy.xlsx
5.11-o4,ISO-5.11,Return of assets,o4,TechInnovate Inc,5-11_O4_TechInnovate_Inc_Asset_Data.xlsx,xlsx,semi_structured,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.11_Return_of_Assets/5-11_O4_TechInnovate_Inc_Asset_Data.xlsx
5.2-o1,ISO-5.2,Information security roles and responsibilities,o1,Global Enterprises Inc,5-2_O1_Executive Team.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O1_Executive Team.docx
5.2-o1,ISO-5.2,Information security roles and responsibilities,o1,Global Enterprises Inc,5-2_O1_Org_Chart.pdf,pdf,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O1_Org_Chart.pdf
5.2-o2,ISO-5.2,Information security roles and responsibilities,o2,GlobalFinance Partners,5-2_O2_Executive Team.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O2_Executive Team.docx
5.2-o2,ISO-5.2,Information security roles and responsibilities,o2,GlobalFinance Partners,5-2_O2_GlobalFinancePartners_OrgChart.pdf,pdf,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O2_GlobalFinancePartners_OrgChart.pdf
5.2-o3,ISO-5.2,Information security roles and responsibilities,o3,QuickServe Restaurants LLC,5-2_O3_QuickServe_Executive_Team.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O3_QuickServe_Executive_Team.docx
5.2-o3,ISO-5.2,Information security roles and responsibilities,o3,QuickServe Restaurants LLC,5-2_O3_QuickServe_OrgChart.pdf,pdf,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O3_QuickServe_OrgChart.pdf
5.2-o4,ISO-5.2,Information security roles and responsibilities,o4,TechInnovate Inc,5-2_O4_TechInnovate_Executive_Team.docx,docx,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O4_TechInnovate_Executive_Team.docx
5.2-o4,ISO-5.2,Information security roles and responsibilities,o4,TechInnovate Inc,5-2_O4_TechInnovate_Org_Chart.pdf,pdf,pdf,UNKNOWN,Unknown,Yes,included,evidence/by_control/ISO-5.2_Information_Security_Roles_and_Responsibilities/5-2_O4_TechInnovate_Org_Chart.pdf
