respondent_id,study_org,participant_role,participant_group,case_id,control_id,condition,modality,evidence_name,ground_truth_label,ground_truth_status,llm_status,rq1_understands_control,rq1_what_was_missed,rq2_factual_evaluation,rq2_what_was_missed,rq2_evidence_fulfils,rq4_correctly_identified,rq4_could_remediate,rq4_remediation_blocker,judge_followup_turns,judge_changed_status,judge_updated_status,created_at,updated_at,participant_completed_at
S001,o2,student,Group 2,8.4-o2,8.4,balanced_v1,xlsx,8-4_O2_GlobalFinance_GitHub_Repository_Access_Export.xlsx,UNKNOWN,Unknown,PARTIAL,,,,,,Neutral,Neutral,Should be insufficient evidence ,0,FALSE,,2026-07-23T05:26:01.981+00:00,2026-07-23T05:26:01.981+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,8.1-o2,8.1,balanced_v1,xlsx,8-1_O2_GlobalFinance_Okta_User_Access_Export.xlsx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,,,,,,Strongly Agree,Strongly Agree,,0,FALSE,,2026-07-23T05:25:52.374+00:00,2026-07-23T05:25:52.374+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,7.14-o2,7.14,balanced_v1,pdf,7-14_O2_Data_Destruction_Certificate_GLO-AST-000321.docx,UNKNOWN,Unknown,PARTIAL,,,,,,Agree,Agree,,0,FALSE,,2026-07-23T05:23:53.318+00:00,2026-07-23T05:23:53.318+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,6.4-o2,6.4,balanced_v1,docx,6-4_O2_termination_letter.docx,UNKNOWN,Unknown,PARTIAL,,,,,,Neutral,Somewhat Agree,"It is a letter of violation not a third party assessment or a internal standard, why is the governance of the policies are needed?",0,FALSE,,2026-07-23T05:23:23.805+00:00,2026-07-23T05:23:23.805+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.30-o2,5.3,balanced_v1,docx,5-30_O2_ICT_Continuity_Plan.docx,UNKNOWN,Unknown,COMPLIANT,,,,,,Agree,Agree,,0,FALSE,,2026-07-23T05:20:02.827+00:00,2026-07-23T05:20:02.827+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.29-o2,5.29,balanced_v1,docx,5-29_O2_BCP.docx,UNKNOWN,Unknown,COMPLIANT,,,,,,Agree,Agree,,0,FALSE,,2026-07-23T05:19:26.627+00:00,2026-07-23T05:19:26.627+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.27-o2,5.27,balanced_v1,docx,5-27_O2_Incident_Response_Report.docx,UNKNOWN,Unknown,COMPLIANT,,,,,,Strongly Agree,Strongly Agree,,0,FALSE,,2026-07-23T05:19:06.016+00:00,2026-07-23T05:19:06.016+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.24-o2,5.24,balanced_v1,docx,5-24_GFP_Incident_Management_Policy.docx,UNKNOWN,Unknown,COMPLIANT,,,,,,Agree,Neutral,"The agent correctly finds the gap of missing all the records of realistic exercises, but in a policy it could not be mandatory ",0,FALSE,,2026-07-23T05:18:45.217+00:00,2026-07-23T05:18:45.217+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.11-o2,5.11,balanced_v1,xlsx,5-11_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,UNKNOWN,Unknown,NON_COMPLIANT,,,,,,Strongly Agree,Strongly Agree,,0,FALSE,,2026-07-23T05:15:35.869+00:00,2026-07-23T05:15:35.869+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.9-o2,5.9,balanced_v1,xlsx,5-9_O2_SC_GlobalFinance_Partners_Asset_Data.xlsx,UNKNOWN,Unknown,PARTIAL,,,,,,Agree,Neutral,"It is clear that the agent know what to expect, but clearly the update document doesn�E��Et yet tell the whole story, such as policy and stuff. It could be  instructions�E��E problem but not agents�E��E problem ",0,FALSE,,2026-07-23T05:14:39.436+00:00,2026-07-23T05:14:39.436+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.2-o2,5.2,balanced_v1,pdf,5-2_O2_Executive Team.docx,UNKNOWN,Unknown,PARTIAL,,,,,,Somewhat Agree,Somewhat Agree,"The dated/ reviewed category could be somewhere else in the whole document.
At the same time, for a large organization having those Chief and VP, it is hard to draft all the candidates of each responsibility. 
And the same, the output only applies to what is missing, but not what is needed.",0,FALSE,,2026-07-23T05:09:48.327+00:00,2026-07-23T05:09:48.327+00:00,2026-07-23T05:26:02.305+00:00
S001,o2,student,Group 2,5.1-o2,5.1,balanced_v1,docx,5-1_O2_GFP_Information_Security_Policy.docx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,,,,,,Somewhat Agree,Somewhat Agree,"The output only indicates what is missing, but that is not automatically lead to what is needed.",0,FALSE,,2026-07-23T05:05:58.56+00:00,2026-07-23T05:05:58.56+00:00,2026-07-23T05:26:02.305+00:00
S002,o2,student,Group 2,5.1-o2,5.1,balanced_v1,docx,5-1_O2_GFP_Information_Security_Policy.docx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,,,,,,Somewhat Agree,Somewhat Agree,"The agent only indicated what is missing, but not what is needed. ",0,FALSE,,2026-07-23T05:04:04.828+00:00,2026-07-23T05:04:04.828+00:00,
A001,o4,auditor,Auditor,5.29-o4,5.29,balanced_v1,docx,5-29_O4_TechInnovate_Business_Continuity_Plan.docx,UNKNOWN,Unknown,PARTIAL,Neutral,,Agree,,Disagree,,,,0,FALSE,,2026-07-21T07:24:43.516+00:00,2026-07-21T07:24:43.516+00:00,
S003,o2,student,Group 2,5.1-o2,5.1,balanced_v1,docx,5-1_O2_GFP_Information_Security_Policy.docx,UNKNOWN,Unknown,INSUFFICIENT_EVIDENCE,,,,,,Somewhat Agree,Agree,,0,FALSE,,2026-07-21T03:18:29.09+00:00,2026-07-21T03:18:29.09+00:00,
