control_id,dimension,n,mean,sd
5.11,rq1_understanding,14,3.714,1.204
5.11,rq2_factual,14,3.857,1.099
5.11,rq2_fulfils,14,2.714,1.684
5.11,rq4_identified,25,4.120,0.833
5.11,rq4_remediate,24,4.000,1.142
5.1,rq1_understanding,16,3.813,0.834
5.1,rq2_factual,15,3.267,1.387
5.1,rq2_fulfils,15,3.200,1.146
5.1,rq4_identified,30,3.500,1.167
5.1,rq4_remediate,29,3.759,0.951
5.24,rq1_understanding,15,3.933,1.100
5.24,rq2_factual,15,3.800,1.207
5.24,rq2_fulfils,14,2.929,1.639
5.24,rq4_identified,24,3.833,0.917
5.24,rq4_remediate,24,4.125,0.537
5.27,rq1_understanding,14,3.643,1.151
5.27,rq2_factual,14,3.786,1.122
5.27,rq2_fulfils,14,3.214,1.477
5.27,rq4_identified,24,3.917,0.974
5.27,rq4_remediate,24,4.125,0.850
5.29,rq1_understanding,14,3.929,0.730
5.29,rq2_factual,14,3.643,1.151
5.29,rq2_fulfils,14,2.857,1.292
5.29,rq4_identified,24,4.042,0.751
5.29,rq4_remediate,24,4.125,0.850
5.2,rq1_understanding,15,3.867,0.640
5.2,rq2_factual,15,3.733,1.033
5.2,rq2_fulfils,15,2.733,1.438
5.2,rq4_identified,27,3.926,1.072
5.2,rq4_remediate,27,4.185,0.921
5.30,rq1_understanding,14,3.643,1.216
5.30,rq2_factual,12,3.750,1.138
5.30,rq2_fulfils,12,2.833,1.467
5.30,rq4_identified,24,4.042,0.859
5.30,rq4_remediate,24,4.042,0.908
5.9,rq1_understanding,15,4.000,0.535
5.9,rq2_factual,15,3.600,1.121
5.9,rq2_fulfils,15,3.067,1.280
5.9,rq4_identified,24,2.958,1.301
5.9,rq4_remediate,24,3.625,1.173
6.4,rq1_understanding,12,4.000,0.739
6.4,rq2_factual,12,3.583,0.996
6.4,rq2_fulfils,13,3.000,1.414
6.4,rq4_identified,24,3.333,1.239
6.4,rq4_remediate,24,3.833,1.007
7.14,rq1_understanding,12,4.000,0.739
7.14,rq2_factual,12,4.000,0.739
7.14,rq2_fulfils,12,3.500,1.168
7.14,rq4_identified,24,3.792,0.658
7.14,rq4_remediate,24,4.042,0.806
8.1,rq1_understanding,13,4.154,0.555
8.1,rq2_factual,13,4.000,1.000
8.1,rq2_fulfils,13,3.385,1.261
8.1,rq4_identified,24,3.208,1.503
8.1,rq4_remediate,24,3.083,1.586
8.4,rq1_understanding,12,4.167,0.577
8.4,rq2_factual,12,3.750,0.965
8.4,rq2_fulfils,12,3.250,1.357
8.4,rq4_identified,24,3.208,1.444
8.4,rq4_remediate,24,3.125,1.541
