respondent_id,role,study_org,control_id,case_id,modality,ground_truth_status,llm_status,rq1_understanding,rq2_factual,rq2_fulfils,rq4_identified,rq4_remediate
S001,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
S001,student,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,4,4
S001,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
S001,student,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,,,,5,4
S001,student,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,,,,5,5
S001,student,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,,,,4,4
S001,student,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,,,,4,5
S001,student,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,,,,3,4
S001,student,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,,,,3,4
S001,student,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,,,,4,4
S001,student,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,4
S001,student,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,,,,1,4
S002,student,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,,,,4,4
A001,auditor,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,4,5,2,,
A001,auditor,o1,5.11,5.11-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,4,5,1,,
A001,auditor,o1,5.2,5.2-o1,pdf,Unknown,PARTIAL,4,5,2,,
A001,auditor,o1,5.24,5.24-o1,docx,Unknown,COMPLIANT,4,5,4,,
A001,auditor,o1,5.27,5.27-o1,docx,Unknown,COMPLIANT,4,5,5,,
A001,auditor,o1,5.29,5.29-o1,docx,Unknown,PARTIAL,4,1,2,,
A001,auditor,o1,5.30,5.30-o1,docx,Unknown,PARTIAL,4,4,2,,
A001,auditor,o1,5.9,5.9-o1,xlsx,Unknown,PARTIAL,4,1,2,,
A001,auditor,o1,6.4,6.4-o1,txt,Unknown,COMPLIANT,4,1,1,,
A001,auditor,o1,7.14,7.14-o1,pdf,Unknown,PARTIAL,4,4,2,,
A001,auditor,o1,8.1,8.1-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,3,1,2,,
A001,auditor,o1,8.4,8.4-o1,xlsx,Unknown,INSUFFICIENT_EVIDENCE,3,1,2,,
S003,student,o1,5.1,5.1-o1,docx,Unknown,PARTIAL,,,,4,4
